so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
16,256,800,4,32,2,0.963384,37,38
16,512,800,4,32,4,0.427894,38,37
16,1024,800,4,32,8,0.278569,37,37
16,512,800,4,64,2,0.866148,37,38
16,1024,800,4,64,4,0.420357,38,37
16,32,800,8,2,2,1.178315,37,38
16,64,800,8,2,4,0.511357,38,38
16,128,800,8,2,8,0.288837,38,37
16,256,800,8,2,16,0.232208,37,37
16,512,800,8,2,32,0.224459,37,37
16,1024,800,8,2,64,0.222812,37,37
16,64,800,8,4,2,1.003964,37,37
16,128,800,8,4,4,0.507243,37,37
16,256,800,8,4,8,0.28572,37,37
16,512,800,8,4,16,0.22654,37,37
16,1024,800,8,4,32,0.211379,37,37
16,128,800,8,8,2,1.047335,37,37
16,256,800,8,8,4,0.46391,37,37
16,512,800,8,8,8,0.27362,37,37
16,1024,800,8,8,16,0.219016,37,36
16,256,800,8,16,2,0.955936,36,37
16,512,800,8,16,4,0.412359,37,37
16,1024,800,8,16,8,0.256504,37,36
16,512,800,8,32,2,0.821556,37,37
16,1024,800,8,32,4,0.400875,37,37
16,1024,800,8,64,2,0.811899,37,37
16,64,800,16,2,2,1.402863,37,37
16,128,800,16,2,4,0.654532,37,37
16,256,800,16,2,8,0.316173,37,37
16,512,800,16,2,16,0.214846,37,37
16,1024,800,16,2,32,0.209994,37,37
16,128,800,16,4,2,1.084512,37,37
16,256,800,16,4,4,0.455846,37,37
16,512,800,16,4,8,0.26209,37,37
16,1024,800,16,4,16,0.21665,37,36
16,256,800,16,8,2,0.968104,36,37
16,512,800,16,8,4,0.405015,37,36
16,1024,800,16,8,8,0.242503,36,36
16,512,800,16,16,2,0.811166,36,37
16,1024,800,16,16,4,0.393111,37,37
16,1024,800,16,32,2,0.771686,37,37
16,128,800,32,2,2,1.850683,37,37
16,256,800,32,2,4,0.82715,37,37
16,512,800,32,2,8,0.399892,37,37
16,1024,800,32,2,16,0.220744,37,37
16,256,800,32,4,2,1.119155,37,37
16,512,800,32,4,4,0.461998,37,37
16,1024,800,32,4,8,0.251509,37,36
16,512,800,32,8,2,0.866781,37,37
16,1024,800,32,8,4,0.410014,37,37
16,1024,800,32,16,2,0.791896,37,37
16,256,800,64,2,2,2.130102,37,37
16,512,800,64,2,4,0.958635,37,37
16,1024,800,64,2,8,0.462918,37,37
16,512,800,64,4,2,1.319606,37,37
16,1024,800,64,4,4,0.554624,37,37
16,1024,800,64,8,2,1.064999,37,37
