so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
8,256,800,8,2,16,0.349601,39,39
8,256,800,8,2,32,0.289503,39,39
8,256,800,8,2,64,0.270396,39,39
8,256,800,8,4,2,1.284829,39,39
8,256,800,8,4,4,0.679822,39,39
8,256,800,8,4,8,0.375047,39,39
8,256,800,8,4,16,0.293381,39,39
8,256,800,8,4,32,0.269522,38,38
8,256,800,8,8,2,0.945972,38,38
8,256,800,8,8,4,0.482501,38,38
8,256,800,8,8,8,0.318271,38,38
8,256,800,8,8,16,0.275496,38,38
8,256,800,8,16,2,0.759225,38,38
8,256,800,8,16,4,0.422355,38,38
8,256,800,8,16,8,0.29685,38,38
8,256,800,8,32,2,0.716674,38,38
8,256,800,8,32,4,0.392932,38,38
8,256,800,8,64,2,0.709551,38,38
8,256,800,16,2,2,1.277643,38,38
8,256,800,16,2,4,0.673162,38,38
8,256,800,16,2,8,0.372975,38,38
8,256,800,16,2,16,0.296126,38,38
8,256,800,16,2,32,0.260638,38,38
8,256,800,16,4,2,0.921544,38,38
8,256,800,16,4,4,0.467022,38,38
8,256,800,16,4,8,0.315689,38,38
8,256,800,16,4,16,0.264957,38,38
8,256,800,16,8,2,0.751183,38,38
8,256,800,16,8,4,0.415143,38,38
8,256,800,16,8,8,0.28562,38,38
8,256,800,16,16,2,0.711235,38,38
8,256,800,16,16,4,0.381729,38,38
8,256,800,16,32,2,0.697993,38,38
8,256,800,32,2,2,1.061509,38,38
8,256,800,32,2,4,0.543066,38,38
8,256,800,32,2,8,0.320741,38,38
8,256,800,32,2,16,0.270154,38,38
8,256,800,32,4,2,0.758149,38,38
8,256,800,32,4,4,0.411502,38,38
8,256,800,32,4,8,0.290646,38,38
8,256,800,32,8,2,0.709813,38,38
8,256,800,32,8,4,0.379318,38,38
8,256,800,32,16,2,0.69379,38,38
8,256,800,64,2,2,1.256987,38,39
8,256,800,64,2,4,0.559513,38,39
8,256,800,64,2,8,0.296203,39,39
8,256,800,64,4,2,0.738229,38,39
8,256,800,64,4,4,0.37967,39,39
8,256,800,64,8,2,0.692759,39,39
8,512,800,2,2,2,17.55811,39,41
8,512,800,2,2,4,9.015694,41,42
8,512,800,2,2,8,4.637602,41,42
8,512,800,2,2,16,2.359066,41,41
